@relation travelia_reco_activite
@attribute month numeric
@attribute price_bucket {cheap,medium,high}
@attribute duration_bucket {short,medium,long}
@attribute lieu {alberta__canada,arizona__états-unis,arusha__tanzanie,bali__indonésie,bangkok__thaïlande,barcelone__espagne,bizerte__tunisie,cairns__australie,cappadoce__turquie,chamonix__france,chiang_mai__thaïlande,djerba__tunisie,florence__italie,foz_do_iguaçu__brésil,gabès__tunisie,galápagos__équateur,geiranger__norvège,grenade__espagne,hakone__japon,hammamet__tunisie,hoi_an__vietnam,húsavík__islande,interlaken__suisse,istanbul__turquie,jendouba__tunisie,kyoto__japon,le_caire__égypte,louxor__égypte,madrid__espagne,marrakech__maroc,monteverde__costa_rica,nabeul__tunisie,népal,paris__france,petra__jordanie,reykjavik__islande,rome__italie,san_josé__costa_rica,sfax__tunisie,sousse__tunisie,tabarka__tunisie,tokyo__japon,tozeur__tunisie,tromsø__norvège,tunis__tunisie,ubud__indonésie,yakushima__japon,zaghouan__tunisie}
@attribute last_category {aventure,culture,détente,gastronomie,nature,sport,none}
@attribute target_category {aventure,culture,détente,gastronomie,nature,sport}
@data
3,high,long,galápagos__équateur,aventure,nature
4,high,long,galápagos__équateur,none,nature
5,high,long,galápagos__équateur,nature,nature
6,high,long,galápagos__équateur,sport,nature
7,high,long,galápagos__équateur,none,nature
8,high,long,galápagos__équateur,nature,nature
9,high,long,galápagos__équateur,aventure,nature
10,high,long,galápagos__équateur,none,nature
11,high,long,galápagos__équateur,nature,nature
12,high,long,galápagos__équateur,gastronomie,nature
1,medium,long,sfax__tunisie,none,nature
2,medium,long,sfax__tunisie,nature,nature
3,medium,long,sfax__tunisie,aventure,nature
4,medium,long,sfax__tunisie,none,nature
5,medium,long,sfax__tunisie,nature,nature
6,medium,long,sfax__tunisie,gastronomie,nature
7,medium,long,sfax__tunisie,none,nature
8,medium,long,sfax__tunisie,nature,nature
9,medium,long,sfax__tunisie,détente,nature
10,medium,long,sfax__tunisie,none,nature
11,medium,long,sfax__tunisie,nature,nature
12,medium,long,sfax__tunisie,gastronomie,nature
1,high,medium,tromsø__norvège,none,nature
2,high,medium,tromsø__norvège,nature,nature
3,high,medium,tromsø__norvège,détente,nature
4,high,medium,tromsø__norvège,none,nature
5,high,medium,tromsø__norvège,nature,nature
6,high,medium,tromsø__norvège,nature,nature
7,high,medium,tromsø__norvège,none,nature
8,high,medium,tromsø__norvège,nature,nature
9,high,medium,tromsø__norvège,aventure,nature
10,high,medium,tromsø__norvège,none,nature
11,high,medium,tromsø__norvège,nature,nature
12,high,medium,tromsø__norvège,sport,nature
1,medium,short,tunis__tunisie,none,nature
2,medium,short,tunis__tunisie,nature,nature
3,medium,short,tunis__tunisie,sport,nature
4,medium,short,tunis__tunisie,none,nature
5,medium,short,tunis__tunisie,nature,nature
6,medium,short,tunis__tunisie,sport,nature
7,medium,short,tunis__tunisie,none,nature
8,medium,short,tunis__tunisie,nature,nature
9,medium,short,tunis__tunisie,culture,nature
10,medium,short,tunis__tunisie,none,nature
11,medium,short,tunis__tunisie,nature,nature
12,medium,short,tunis__tunisie,aventure,nature
1,high,medium,hammamet__tunisie,none,détente
2,high,medium,hammamet__tunisie,détente,détente
3,high,medium,hammamet__tunisie,gastronomie,détente
4,high,medium,hammamet__tunisie,none,détente
5,high,medium,hammamet__tunisie,détente,détente
6,high,medium,hammamet__tunisie,détente,détente
7,high,medium,hammamet__tunisie,none,détente
8,high,medium,hammamet__tunisie,détente,détente
9,high,medium,hammamet__tunisie,aventure,détente
10,high,medium,hammamet__tunisie,none,détente
11,high,medium,hammamet__tunisie,détente,détente
12,high,medium,hammamet__tunisie,détente,détente
1,medium,long,ubud__indonésie,none,détente
2,medium,long,ubud__indonésie,détente,détente
3,medium,long,ubud__indonésie,sport,détente
4,medium,long,ubud__indonésie,none,détente
5,medium,long,ubud__indonésie,détente,détente
6,medium,long,ubud__indonésie,culture,détente
7,medium,long,ubud__indonésie,none,détente
8,medium,long,ubud__indonésie,détente,détente
9,medium,long,ubud__indonésie,aventure,détente
10,medium,long,ubud__indonésie,none,détente
11,medium,long,ubud__indonésie,détente,détente
12,medium,long,ubud__indonésie,culture,détente
1,high,long,hakone__japon,none,détente
2,high,long,hakone__japon,détente,détente
3,high,long,hakone__japon,nature,détente
4,high,long,hakone__japon,none,détente
5,high,long,hakone__japon,détente,détente
6,high,long,hakone__japon,détente,détente
7,high,long,hakone__japon,none,détente
8,high,long,hakone__japon,détente,détente
9,high,long,hakone__japon,aventure,détente
10,high,long,hakone__japon,none,détente
11,high,long,hakone__japon,détente,détente
12,high,long,hakone__japon,culture,détente
1,medium,short,tunis__tunisie,none,détente
2,medium,short,tunis__tunisie,détente,détente
3,medium,short,tunis__tunisie,détente,détente
4,medium,short,tunis__tunisie,none,détente
5,medium,short,tunis__tunisie,détente,détente
6,medium,short,tunis__tunisie,nature,détente
7,medium,short,tunis__tunisie,none,détente
8,medium,short,tunis__tunisie,détente,détente
9,medium,short,tunis__tunisie,nature,détente
10,medium,short,tunis__tunisie,none,détente
11,medium,short,tunis__tunisie,détente,détente
12,medium,short,tunis__tunisie,culture,détente
1,high,medium,reykjavik__islande,none,détente
2,high,medium,reykjavik__islande,détente,détente
3,high,medium,reykjavik__islande,sport,détente
4,high,medium,reykjavik__islande,none,détente
5,high,medium,reykjavik__islande,détente,détente
6,high,medium,reykjavik__islande,sport,détente
7,high,medium,reykjavik__islande,none,détente
8,high,medium,reykjavik__islande,détente,détente
9,high,medium,reykjavik__islande,sport,détente
10,high,medium,reykjavik__islande,none,détente
11,high,medium,reykjavik__islande,détente,détente
12,high,medium,reykjavik__islande,culture,détente
1,medium,short,istanbul__turquie,none,détente
2,medium,short,istanbul__turquie,détente,détente
3,medium,short,istanbul__turquie,sport,détente
4,medium,short,istanbul__turquie,none,détente
5,medium,short,istanbul__turquie,détente,détente
6,medium,short,istanbul__turquie,sport,détente
7,medium,short,istanbul__turquie,none,détente
8,medium,short,istanbul__turquie,détente,détente
9,medium,short,istanbul__turquie,culture,détente
10,medium,short,istanbul__turquie,none,détente
11,medium,short,istanbul__turquie,détente,détente
12,medium,short,istanbul__turquie,sport,détente
1,medium,long,djerba__tunisie,none,détente
2,medium,long,djerba__tunisie,détente,détente
3,medium,long,djerba__tunisie,gastronomie,détente
4,medium,long,djerba__tunisie,none,détente
5,medium,long,djerba__tunisie,détente,détente
6,medium,long,djerba__tunisie,sport,détente
7,medium,long,djerba__tunisie,none,détente
8,medium,long,djerba__tunisie,détente,détente
9,medium,long,djerba__tunisie,nature,détente
10,medium,long,djerba__tunisie,none,détente
11,medium,long,djerba__tunisie,détente,détente
12,medium,long,djerba__tunisie,culture,détente
1,medium,medium,nabeul__tunisie,none,détente
2,medium,medium,nabeul__tunisie,détente,détente
3,medium,medium,nabeul__tunisie,nature,détente
4,medium,medium,nabeul__tunisie,none,détente
5,medium,medium,nabeul__tunisie,détente,détente
6,medium,medium,nabeul__tunisie,culture,détente
7,medium,medium,nabeul__tunisie,none,détente
8,medium,medium,nabeul__tunisie,détente,détente
9,medium,medium,nabeul__tunisie,gastronomie,détente
10,medium,medium,nabeul__tunisie,none,détente
11,medium,medium,nabeul__tunisie,détente,détente
12,medium,medium,nabeul__tunisie,culture,détente
1,cheap,short,chiang_mai__thaïlande,none,détente
2,cheap,short,chiang_mai__thaïlande,détente,détente
3,cheap,short,chiang_mai__thaïlande,nature,détente
4,cheap,short,chiang_mai__thaïlande,none,détente
5,cheap,short,chiang_mai__thaïlande,détente,détente
6,cheap,short,chiang_mai__thaïlande,gastronomie,détente
7,cheap,short,chiang_mai__thaïlande,none,détente
8,cheap,short,chiang_mai__thaïlande,détente,détente
9,cheap,short,chiang_mai__thaïlande,aventure,détente
10,cheap,short,chiang_mai__thaïlande,none,détente
11,cheap,short,chiang_mai__thaïlande,détente,détente
12,cheap,short,chiang_mai__thaïlande,gastronomie,détente
1,medium,medium,yakushima__japon,none,détente
2,medium,medium,yakushima__japon,détente,détente
3,medium,medium,yakushima__japon,culture,détente
4,medium,medium,yakushima__japon,none,détente
5,medium,medium,yakushima__japon,détente,détente
6,medium,medium,yakushima__japon,aventure,détente
7,medium,medium,yakushima__japon,none,détente
8,medium,medium,yakushima__japon,détente,détente
9,medium,medium,yakushima__japon,sport,détente
10,medium,medium,yakushima__japon,none,détente
11,medium,medium,yakushima__japon,détente,détente
12,medium,medium,yakushima__japon,aventure,détente
